fen,answer,reasoning
"6k1/1p2nppp/pqr1p3/b2pP3/QP1P4/P3BP2/4NP1P/5RK1 b - - 0 19",b6b5,"Counter-attacks the White Queen to disrupt the attack on the bishop."
"5r2/p7/1p2k3/4b3/2R5/4R2P/P5P1/7K w - - 5 42",c4e4,"Pins the bishop on e5 to the King, winning the piece."
"6k1/1pq1b1pp/p2pp2r/8/n2BPN2/6Q1/2P3PP/5R1K b - - 3 26",e7f6,"Develops the Bishop to defend the g7 square against the mate threat."
"2B5/k7/p2p1b2/2pPqP2/2P1p3/1Q4P1/1r6/1K1R4 w - - 0 37",b3b2,"Captures the checking rook and simplifies into a winning endgame."
"6k1/5pp1/7p/1R1N4/3r1PP4/5K1P/3b4/8 b - - 3 44",d4d3,"Deflects the White King, leaving the Knight on d5 undefended for capture."
"4rrk1/2ppNp1p/pb5p/1p2P1q1/4Q3/7P/PPB2PP1/R3R1K1 b - - 5 25",g8g7,"Moves the King to escape the check; capturing allows immediate mate via h7."
"2b1rRk1/np4p1/1b4p1/pP1p2N1/P2N4/B1r4P/6P1/5R1K b - - 1 30",e8f8,"Forced capture to escape check."
"5Q1k/7p/6pP/p1q1P1P1/1n6/2N5/1P6/1K3R2 b - - 0 41",c5f8,"Forced capture to escape check."
"1k2r3/ppp5/7p/2Pp2p1/Q7/4B3/5PPP/2q3K1 w - - 0 33",e3c1,"Captures the Black Queen to stop the back-rank mate threat."
6k1/1b3ppp/2p5/1pP5/3RP3/6P1/r1B2P1P/6K1 b - - 0 25,g7g6,"Black plays `g7g6` to create luft for the king, preventing the back-rank mate threat `d4d8` while maintaining the attack on the bishop."
5k2/3R1p2/5P1R/1p4pp/8/2K5/P1P5/3rr3 b - - 2 46,d1c1,"Black forces a series of checks starting with `d1c1` to utilize the active rooks and avoid the mate threat on h8 or d8."
1R1b1R2/3r3k/5p2/2p1p1p1/4n3/8/B5PP/6K1 w - - 2 42,b8d8,"White captures the pinned bishop with `b8d8` (or `f8d8`), simplifying into a winning endgame with extra material."
3n2k1/2q3p1/p6p/4p3/8/Q4bB1/1P3PPP/6K1 w - - 0 26,a3f3,"White captures the loose bishop with `a3f3`, maintaining material equality and improving the queen's position."
r4rk1/pp2b1pp/2pqbn2/3p4/1P1P3P/P1P1P3/6Q1/RNB1KBR1 b Q - 2 18,f6g4,"Black plays `f6g4`, interfering with the White queen and rook battery to prevent the threatened `g2g7` checkmate."
r1bq1rk1/1pp2pp1/p3p2p/4B3/3P2n1/P2QP3/2B2PPP/R3K2R b KQ - 2 16,f7f5,"Black plays `f7f5` to block the `c2-h7` diagonal and stop the `d3h7` checkmate threat."
6k1/pppq2pp/4p3/1P6/P1PPp1n1/B3P3/6PP/5QK1 b - - 0 21,h7h6,"Black plays `h7h6` to give the king an escape square, preventing the back-rank mate threat from `f1f8`."
6k1/5p2/3B2p1/1p1R3p/4R3/pPr5/P4PPP/6K1 w - - 0 28,h2h3,"White plays `h2h3` to create luft, preventing the back-rank mate threat `c3c1` before pursuing offensive operations."
r2b2k1/pp5p/3N1n2/2pP4/2P2p2/1P6/PB4Kp/4R3 b - - 0 27,f4f3,"Black plays `f4f3`, forcing the white king to move and clearing lines for the promotion threat or tactical complications."
3r2k1/6pp/8/pR6/2p5/P7/1P3PPP/1R1r2K1 w - - 1 27,b1d1,White must play `b1d1` to capture the rook and prevent back-rank checkmate.
r4k2/1bp1bp2/p3p1p1/1p1q4/3P4/P1PQ2N1/5PPP/R4RK1 w - - 1 18,f2f3,White plays `f2f3` to block the `d5g2` checkmate threat while solidifying the kingside pawn structure.
r4rk1/ppq2pp1/2n1p2p/3p4/1P1P1b2/2PQ1P1P/P1B2PK1/RN3R2 b - - 2 17,f7f5,Black plays `f7f5` to shut down the `c2-h7` diagonal and prevent `d3h7` checkmate.
8/1k3pp1/p1b5/7p/5P1P/2Nr2P1/PP3R2/5K2 w - - 4 32,f2d2,"White plays `f2d2` to offer a rook exchange or defend, avoiding `c3e2` which would lead to immediate back-rank mate `d3d1`."
k3r3/1p1r3p/p1p3p1/4b1Q1/4p3/R1P1B2P/1P3PP1/R2q3K w - - 6 33,a1d1,White captures the queen with `a1d1` to avoid the forced back-rank checkmate.
2r2rk1/pb3ppp/1p2p3/2pnP1q1/P2P4/2PQ2B1/5PPP/1BR1R1K1 b - - 1 19,g7g6,Black plays `g7g6` to block the `b1-h7` diagonal and prevent the `d3h7` checkmate threat.
r1bq1Q1k/p5pp/2pp4/1pn1p3/4P3/P1NPP2P/1PP3P1/R4RK1 b - - 2 17,d8f8,"Black plays `d8f8` to capture the white queen, though the position remains lost due to the follow-up mate threat."
r3k1nr/pppb1pbp/4pqp1/3P2B1/7P/3n2N1/PPPQ1PP1/2KR1BNR w kq - 3 12,d2d3,"White captures the knight with `d2d3` to remove the check and win material, as the knight was undefended."
8/5k2/1P1r4/5p2/3BbP2/6p1/1R4P1/6K1 w - - 1 56,b2d2,"White plays `b2d2` to defend the pinned bishop on d4, which cannot move due to the back-rank mate threat `d6d1`."
7k/7p/1N6/p3rp2/1b6/3r1P2/PPP3PP/1K1R4 w - - 0 29,c2d3,White captures the rook with `c2d3`; capturing with `d1d3` would be a blunder leading to `e5e1` back-rank mate.
"r4rk1/p1qn1ppp/3bp3/1p1P4/2p1QP2/2P4P/PPB3P1/R1B2RK1 b - - 1 17",d7f6,"Blocks the checkmate threat on h7 and attacks the White Queen."
"4r1k1/p3Nppp/6b1/6P1/8/2R5/PP6/2K1n3 b - - 3 31",g8h8,"Moves the King to safety; capturing the Knight (e8e7) allows a forced back-rank mate via c3c8."
"rn2kb1r/1b3ppp/p1q1pn2/1pp5/5B2/2NP1NP1/PPP1BP1P/R2QR1K1 w kq - 2 11",e2f3,"Blocks the long diagonal to break the pin on the f3 Knight."
"4r1k1/5p2/2p4p/3p2p1/1Q1P4/2P4b/P4P1P/1B4rK w - - 0 31",h1g1,"Forced capture to escape immediate check, though e8e1 follows with mate."
"r4k2/ppRQ1pp1/8/3p4/1P1Pp1N1/P3Prp1/1B4N1/6Kq w - - 6 34",g1h1,"Forced capture of the Queen to prevent immediate mate."
"6k1/Q4ppp/4p3/8/3P4/4q3/PP4RP/2r4K w - - 1 26",g2g1,"Forced block with the Rook to prevent immediate mate."
"k7/2r5/7R/8/P7/1R4p1/1P3PP1/6K1 w - - 0 33",f2g3,"Captures the pawn to prevent back-rank mate via c7c1."
"3r4/ppp1b1kp/6p1/8/4PQ2/1P6/P1P2PPP/2Rq2K1 w - - 1 26",c1d1,"Captures the checking Rook and defends the back rank."
"r1Q4k/p4rpp/pb1pp3/4q3/1P2P3/P5N1/5PPP/2R2R1K b - - 0 21",a8c8,"Captures the Queen and defends the back rank against mate."
"rn2k1r1/pbp2p2/1p2pB2/3qP3/2B5/2P5/P1P2PPP/R2QK2R b KQq - 2 14",d5c4,"Captures the attacking Bishop; taking g2 allows counterplay."
"6k1/5ppp/4p3/3r4/6Nb/5P2/R4PKP/8 b - - 13 33",h7h5,"Creates a flight square for the King (luft) to avoid back-rank mate threats."
"r3r1k1/1pp3pp/p4p2/2Q2N2/8/P7/1P3PPP/R3q1KR w - - 3 23",a1e1,"Forced capture of the Queen to escape check, though mate follows."
"2rQ3k/6pp/5p2/6q1/2B1P3/8/P4PPn/3R3K b - - 3 26",g5d8,"Captures with the Queen to cover the back rank; capturing with the Rook allows mate."
"7k/pp2r1pp/8/8/4Qp1P/2P5/PP6/1K1R4 b - - 0 31",h7h6,"Creates a flight square to prevent back-rank mate on d8."
"4r1k1/pp3pbp/2P3p1/2Rp4/3P4/P7/1B3PPP/2R1r1K1 w - - 1 25",c1e1,"Forced capture to escape check, resulting in inevitable mate."
"4r1k1/pp3ppp/r3b3/2p3P1/2Pb3P/1P1N1Q2/K1PB1P2/3R3R w - - 1 28",a2b1,"Forced King move to escape check, leading to mate on a1."
"r3rn1k/pp3B1p/2p5/8/8/1P2PNR1/P1q2PP1/5RK1 b - - 0 26",f8g6,"Blocks the g-file to prevent immediate mate on g8."
"1br2rk1/ppq2ppp/1np2pb1/8/2PP4/1P1B1N1P/PB2QPP1/R3R1K1 b - - 6 16",g6d3,"Trades the Bishop to simplify and remove a strong piece."
"8/3b1pbk/2p3p1/1p1p3p/1q1P1Q2/1PNBP2P/5PPB/6K1 w - - 6 36",f4f7,"Attacks the Bishop on d7 and creates threats against the Black King."
b7/q7/p3Q1pk/1p5p/8/P1NN2PP/1P3r1K/3R4 w - - 1 38,d3f2,"White must play `d3f2` to capture the rook and delay the mating attack, as other king moves lead to immediate forced mate."
5Q1k/1p4pp/4p3/p3P3/3P3P/q3B3/2r3P1/5RK1 b - - 0 23,a3f8,Black plays `a3f8` to capture the checking Queen and prevent the back-rank mate `f1f8`.
r3kb1r/pp3p2/3qpQ2/3p2p1/N5np/4P3/PPP1NPPP/R1B2RK1 w kq - 1 16,g2g3,White plays `g2g3` to block the diagonal and prevent the threatened `d6h2` checkmate.
r1r3k1/3Q1pp1/1R5p/3pP3/3n4/8/P4PPP/5qK1 w - - 0 23,g1f1,"White's only legal move is `g1f1` to escape check, though `c8c1` mate follows immediately."
6k1/5p2/2p2p2/2Pp4/3Q1PP1/5P1p/7P/2qRr1K1 w - - 5 31,d1e1,White captures the checking rook with `d1e1`; `g1f2` would lead to mate via `c1e3` or similar.
5kr1/p4p1p/5Bp1/3R4/r7/5P1P/6PK/8 b - - 0 31,a4a8,Black plays `a4a8` to defend the d8 square against the threatened checkmate `d5d8`.
r4rk1/1b2bppp/p3p3/1p1qP3/8/P2BB3/1PP1Q1PP/R4RK1 w - - 0 17,d3h7,White plays `d3h7` (Greek Gift sacrifice) to expose the Black king; if `g8h7` `e2h5` follows with a winning attack.
r2Q4/pb3Rpk/1pqp3p/2p1p3/2P5/P3P3/6PP/2R4K w - - 1 26,f7g7,"White plays `f7g7` check; after `h7g7`, `d8f6` forces the king into a mating net."
6k1/R5p1/4pp2/7p/3P4/P2bP3/1r3PPP/2R3K1 w - - 0 29,h2h3,"White plays `h2h3` to create luft for the king, preventing the back-rank mate threat from `b2b1`."
rk1rn3/1pp5/p1p3pp/8/6Q1/6B1/PPP2PPP/6K1 w - - 2 29,h2h3,"White plays `h2h3` to create an escape square for the king, preventing the back-rank mate threat on d1."
r2r1k2/6pp/4Bp2/p1p5/Pp2R3/2P5/1n1R1PPP/6K1 w - - 0 23,d2d8,White plays `d2d8` to trade rooks; `d2b2` is not possible because of `d8d1` back-rank mate.
3r1Q1k/pp4p1/2p4p/q3P3/3P4/3B3P/PP4PP/5RK1 b - - 2 30,d8f8,"Black is forced to play `d8f8` to capture the Queen, though `f1f8` leads to mate on the next move."
8/p4kpp/2q3r1/2p2p2/1P3p2/P1PP4/3R1PPP/3Q2K1 w - - 4 26,f2f3,White plays `f2f3` to block the long diagonal and prevent `c6g2` checkmate.
1r4kb/1B3p1p/p3p1pP/1pB5/8/P4P2/5PK1/3R4 b - - 0 29,b8e8,Black plays `b8e8` to save the rook and defend against `d1d8` back-rank mate; `b8b7` loses immediately to `d1d8`.
5nk1/p1p2ppp/6q1/3P4/3p4/2P5/P5PP/RN3R1K w - - 0 26,f1g1,White moves the rook to `f1g1` to avoid the back-rank mate threat `a6f1`.
r3Q1k1/5ppp/p4q2/1ppP4/8/8/PPP3PP/R1B1R1K1 b - - 0 20,f6e8,Black captures the queen with `f6e8` to prevent checkmate; `a8e8` would allow `e1e8` mate.
3b2k1/1Q1q1p1p/3P2pB/1P2R3/8/7P/5PP1/6K1 b - - 0 40,f7f6,"Black plays `f7f6` to create an escape square for the king and attack the rook, preventing the immediate `e5e8` mate."
6k1/5pp1/Qp2p2p/p3P3/8/P1B2P2/1P4PP/2nr3K w - - 1 32,a6f1,"White is forced to play `a6f1` to block the rook check, giving up the queen to prevent immediate mate."
q4rk1/1b1n1ppp/3bp3/1pp3P1/4PP1P/1P3Q2/1BPP4/r1K1RBNR w - - 3 18,b2a1,White plays `b2a1` to capture the rook; the King cannot move to `b1` or `d1` due to check or obstruction.
"3r3k/p5pp/2pQ4/4p3/8/6P1/PP6/K4R2 b - - 0 31",d8g8,"Moves the rook to safety; capturing the Queen (Rxd6) allows a forced back-rank mate via Rf8."
"1k2Rr2/p1p4p/1p1p2pn/5p2/2P5/5B1P/PP3PP1/4R1K1 b - - 1 22",f8e8,"Forced capture to escape check."
"4r1k1/2Q2p1p/p5p1/1p3P2/1P6/P2P3b/7R/R3q2K w - - 1 30",a1e1,"Forced capture to escape check."
"2kr2nr/pp5p/1Np1q3/4p1pb/4P3/6PP/PPPQ2P1/2KR1B1R b - - 1 16",a7b6,"Captures the Knight to escape check; moving the King (Kb8) allows mate via Qd8."
"r1b1kb1r/ppq2p2/2p2n1p/4B1p1/4P3/2N5/PPPQ1PPP/2KR1B1R b kq - 0 12",c7e5,"Captures the bishop to prevent the mate threat on d8."
"1r4k1/1R3ppp/8/R7/8/p3P3/5PPP/6K1 b - - 0 28",b8c8,"Threatens a back-rank mate on c1 and avoids capturing on b7 which leads to mate via Ra8."
"r1Q3k1/5ppp/4p3/3n2q1/P2P4/5P1P/2R3PK/8 b - - 4 37",a8c8,"Forced capture to avoid mate."
"r4rk1/2N1p1b1/p5Qp/1p6/8/8/P5PP/3R1q1K w - - 2 26",d1f1,"Forced capture to avoid mate."
"8/p1k1q2p/2p5/4r3/6Q1/8/P4PPP/2R4K w - - 3 31",h2h3,"Creates a flight square for the King to avoid the back-rank mate threat on e1."
"4rQ1k/p1p1r1pp/3b4/8/1PP5/P6P/5R2/5K2 b - - 2 46",e8f8,"Forced capture to escape check."
"3r4/1b6/pk2B3/1p4p1/5bP1/2Q5/PPP5/2K5 w - - 3 32",c1b1,"Forced King move to escape check."
"r2qr1k1/pp3pp1/7p/3pP1nb/7P/B1PQ1P2/P1B3P1/R4RK1 b - - 0 20",h5g6,"Blocks the dangerous diagonal to h7 and attacks the White Queen."
"r1bqkr2/ppp1b2p/6p1/3R2B1/7P/2P1Q3/PPP2PP1/2K4R b q - 0 14",c8d7,"Develops the Bishop to block the d-file; capturing the Rook (Qxd5) leads to mate via Qxe7."
"r4rk1/ppb2ppp/4qB2/3p3b/2P5/3Q1NPP/P1B2P2/R4RK1 b - - 0 18",h5g6,"Blocks the mate threat on h7 and attacks the White Queen."
"4r1k1/1pp1rppp/p2p4/3P4/2B3Q1/1P6/1B3NPP/R3q2K w - - 1 23",a1e1,"Forced capture to escape check."
"r2k3r/pp1b2pp/2p2q2/3p4/2B5/2bQ1N2/P4PPP/2RR2K1 b - - 3 18",c3b2,"Moves the Bishop to safety; capturing on c4 (dxc4) allows a forced mate via Qd7."
"r3r1k1/pp1Q1p1p/3p2p1/2pP4/5P2/8/P5PP/3Rq2K w - - 0 24",d1e1,"Forced capture to escape check."
"4r1k1/p3Qppp/8/8/8/1P4P1/P4P2/3R2K1 b - - 0 25",g3d6,"Blocks the d-file to prevent back-rank mate; capturing the Queen (Rxe7) allows Rd8#."
"5b2/1p1nkP2/4p3/p2r3R/6P1/8/PPP5/1K1q3Q w - - 0 33",h1d1,"Forced capture to escape check."
r2q1rk1/pp2bppp/n1p5/3p4/3P1Bb1/P2QPN2/1P3PPP/RB3RK1 b - - 4 14,g7g6,"Black plays `g7g6` to block the dangerous battery of White's Queen and Bishop on the b1-h7 diagonal, preventing `d3h7` checkmate."
1k3r2/pp1P4/2p5/2P5/6p1/1P4Pp/P2R1BbP/4r1K1 w - - 1 42,f2e1,"White captures the rook with `f2e1`, the only legal move to escape the check from the rook on e1."
2r3k1/p5p1/1p2p1P1/4P2p/3RP1n1/1PN5/P6P/7K b - - 0 26,g8f8,"Black moves the king to `g8f8` to step out of the potential back-rank mating net, allowing the rook to move freely later."
8/7k/1R2bp2/1P2pr1p/2Pp4/3P2P1/1B4PP/7K w - - 1 30,h2h3,"White plays `h2h3` to create luft for the king, preventing the immediate back-rank mate threat `f5f1`."
3r1Q1k/p5pp/8/3p2q1/P2Pr3/2B5/1P4PN/5RK1 b - - 2 33,d8f8,Black is forced to play `d8f8` capturing the Queen to delay the inevitable mate starting with `f1f8`.
1k6/p7/Pp1n1q2/1P1Q1ppp/8/3p4/5PPP/2R3K1 w - - 0 34,d5g8,"White plays `d5g8` check, starting a forced mating sequence or winning material after `d6c8` `c1c8`."
r1bq1Q1k/ppp3pp/1b6/8/3P4/2P4P/PP5P/RN3RK1 b - - 2 16,d8f8,"Black must play `d8f8` to capture the checking Queen, although `f1f8` leads to back-rank mate immediately."
7k/7p/7P/4R3/PK6/5p2/4pr2/8 b - - 1 48,f2f1q,"Black promotes the pawn with `f2f1q`, which forces White to deal with the new Queen and allows `f1f8` interposition against the `e5e8` mate threat."
2k1r2r/pp4bp/1np5/5R2/1P6/1Q6/P4nPP/1RB4K w - - 5 26,h1g1,"White moves `h1g1`, the only legal square for the king to escape the check from the knight on f2."
8/4kpp1/2p1p3/3pP3/3N4/r1P4R/2P1bPPP/6K1 w - - 0 24,f2f3,"White plays `f2f3` to create an escape square for the king (luft), preventing the back-rank mate `a3a1`."
2r4k/6pp/1R6/3p4/1p6/7P/5PP1/6K1 b - - 1 32,c8c1,"Black plays `c8c1`, checking the king and allowing the rook to defend the b-pawn or activate, as `b6b4` was threatened."
7k/3r2p1/1p4qp/8/8/2P1p3/PPQ3PP/6K1 w - - 0 36,c2c1,White plays `c2c1` to prevent the immediate `d7d1` mate; taking the queen `c2g6` allows `d7d1` mate due to the `e3` pawn.
k2r4/2p5/6pp/3P3b/3Bp2P/q1P5/1R1K1P2/1R6 b - - 3 42,e4e3,Black plays `e4e3` to disrupt White's coordination and open lines before dealing with the `b1a1` pin threat.
r4rRk/b4p2/p1p4p/1pPpP3/3P1q2/P2Q4/6PP/1BR4K b - - 2 31,f8g8,Black plays `f8g8` to capture the checking rook; capturing with the king would lead to immediate `d3h7` mate.
rn3r1k/pQ6/1pp1P2p/3p4/1P6/PN6/6PP/R4q1K w - - 2 31,a1f1,"White plays `a1f1` to capture the queen, which is the only legal move to escape check, though `f8f1` mate follows."
3q1Q1k/p5p1/2p3Pp/7P/1p2P3/8/P5P1/5R1K b - - 1 36,d8f8,"Black must play `d8f8` to capture the queen, escaping check only to be mated by `f1f8` on the next move."
4r2k/p5p1/1p5p/8/7B/P1P5/P2q1PPP/3R2K1 w - - 0 27,h2h3,"White plays `h2h3` to give the king an escape square, avoiding the back-rank mate `e8e1` if the rook moves or is captured."
8/1R5R/p1r2kp1/4bp2/1P2p3/7P/5PP1/6K1 w - - 1 36,f2f4,"White plays `f2f4` to challenge the bishop and create a flight square, preventing any immediate mating nets."
R7/4rkpp/2pr1p2/4Pb2/8/8/1P3PPP/4R1K1 w - - 0 26,h2h3,"White plays `h2h3` to make luft; this prevents `e7e1` back-rank mate, allowing White to safely capture the rook on d6 next."
"1k6/1p4R1/2r2n1p/p4B2/8/8/PP3PPP/6K1 w - - 3 30",g2g3,"Creates a flight square (luft) for the King to prevent back-rank mate."
"2r3k1/5ppp/2N1p3/p2p4/2b5/P2nP1KP/3B2P1/1R6 b - - 3 29",h7h6,"Creates a flight square to avoid the back-rank mate trap; capturing the Knight (c8c6) leads to mate via b1b8."
"2r3k1/pp3ppp/8/8/4r3/8/PP3PPP/4R1K1 w - - 0 24",g2g3,"Creates a flight square to avoid back-rank mate; capturing the Rook (e1e4) allows c8c1."
"2kr3r/ppb2Qp1/2pqp1p1/8/3P4/P1P4P/1BP2PP1/R4RK1 w - - 1 18",f2f4,"Blocks the Queen's path to h2, preventing checkmate."
"2r2r1k/pQ4pp/8/4p3/5p2/8/3q1PPP/3R2K1 w - - 0 32",h2h3,"Creates a flight square; capturing the Queen (d1d2) or leaving the back rank allows mate via c8c1."
"r1b3k1/p5pp/1qp5/3pb3/3P4/1N2Q1PP/PP4B1/R5K1 b - - 3 20",b6b3,"Captures the Knight and exploits the pin on the e-file (axb3 LxB wins piece)."
"5rk1/R3b1pp/4Pp2/2q2Q2/2NpB4/2nP2PP/7K/8 b - - 2 39",c5f5,"Captures the Queen to stop the threatened checkmate on h7."
"krR5/P7/KP6/8/8/8/8/8 b - - 4 70",b8c8,"Captures the Rook; this is the only attempt to prolong the game."
"4rrk1/1p4pp/p2b1R2/3P4/4P1QN/8/6PP/5q1K w - - 0 28",f6f1,"Captures the Queen to prevent immediate checkmate."
"4r3/pk4pp/8/8/8/P1N5/1Pp2PPP/2Rr2K1 w - - 5 31",c3d1,"Captures the Rook; taking with the Rook (c1d1) allows cxd1=Q with mate."
"b2RQ2k/p5pp/1n2r3/1P2Pp2/8/P7/B4PP1/6K1 b - - 0 32",e6e8,"Captures the Queen."
"6k1/p1p3p1/3b2b1/2np3P/4p2q/1P2P2P/PBP1N1Q1/3K1N2 b - - 0 29",h4f6,"Defends the g7 square against the threatened mate by the Queen and Bishop."
"3r3k/p5pp/4Qn2/8/1P1B4/P1P5/5PPP/6K1 w - - 1 29",h2h3,"Creates a flight square to avoid back-rank mate; capturing the Knight (d4f6) allows d8d1."
"8/2Pk1ppp/1K2p3/8/8/1P4P1/2r4P/3R4 b - - 2 44",d7e7,"Moves the King to safety to avoid the mate threat involved with d8."
"r1b3kr/pp3p1p/2p2Q1B/3p1q2/8/2P5/PP3PPP/2K1RB1R b - - 0 18",f5f6,"Captures the Queen and defends against the mate threat on e8 (via Rxe8)."
"q4rk1/1bp1bppp/2n1p3/1p6/3P4/2PQPN2/2B2PPP/2B2RK1 b - - 1 15",g7g6,"Blocks the diagonal to prevent the checkmate threat on h7."
"k1Q1r3/pp4pp/5n2/3q4/3P4/4B1P1/PP3P2/2R3K1 b - - 2 23",e8c8,"Forced capture to escape check."
"4R2k/6pp/pq4p1/3p4/1P1P4/2P2rP1/5PP1/1R4K1 b - - 1 33",f3f8,"Forced block to prevent immediate checkmate."
"2r3k1/p4ppp/8/8/4P3/n1R3P1/4qP1P/1R4K1 b - - 0 40",h7h6,"Creates a flight square; capturing the Rook (c8c3) leads to mate via b1b8."
r4rk1/1b2b1pp/p1q1pn2/n4p2/8/P1N1PN1P/BB3PP1/R2Q1RK1 w - - 2 17,c3e2,"White plays `c3e2` to reroute the knight toward f4 or d4 and to support the kingside defense, while keeping the long diagonal closed to the Queen on c6."
5rk1/2P3pp/8/8/4Q3/6P1/b5PP/4Rq1K w - - 3 33,e1f1,"White plays `e1f1` to capture the checking Queen; it is the only legal move, though `f8f1` leads to checkmate immediately after."
3r1rk1/pbpn1ppp/1p2pq2/8/3P4/2PQ1N2/PPB2PPP/R4RK1 b - - 4 14,b7xf3,"Black captures the knight with `b7xf3`, ruining White's kingside pawn structure (if `g2xf3`) or deflecting the Queen from the battery (if `d3xf3`)."
2r3k1/5pb1/6p1/6P1/p3p3/B7/PP5Q/K1q4R w - - 4 42,h1c1,"White plays `h1c1` to capture the checking Queen, delaying the inevitable mate `c8c1` by one move."
8/1p6/p1p5/8/1PP5/1P3pk1/6p1/3r1RK1 w - - 3 59,f1d1,"White captures the checking rook with `f1d1`, preventing immediate checkmate and entering a winning endgame."
r1b2rk1/pp1n1pp1/2p2q1p/3p4/1b1P4/2NQP3/PP3PPP/1BR1K1NR b K - 3 11,g7g6,Black plays `g7g6` to block the `b1-h7` diagonal and prevent the threatened checkmate on h7.
1r3k2/p1p2Rr1/1bB5/5Q2/3P4/2P1q1p1/PP2P2P/5R1K b - - 0 23,g7f7,Black captures the checking rook with `g7f7` to defend the king.
6k1/1b3p1p/p1q1p1p1/2p1Q3/P1B2P2/1P5P/2P3PK/8 w - - 2 27,c4f1,White plays `c4f1` to defend the g2 square against the threatened `c6g2` checkmate.
6k1/pp4pp/2b2p2/8/1P2qP2/P3pQ2/P5rP/4R1K1 w - - 0 33,f3g2,"White captures the checking rook with `f3g2`, trading queens and entering a winning endgame with a Rook against a Bishop."
2kr3r/pp2bpp1/2N1pn1p/8/1q1P1B2/5Q1P/PPP2PP1/2KR3R b - - 0 16,b4c4,Black moves the Queen to `b4c4` to escape the attack; taking the knight `b7xc6` would lead to forced mate via `f3c6`.
6k1/6pp/p2r4/8/1P6/P3p3/2p3PP/2R3K1 w - - 0 34,g1f1,"White plays `g1f1` to bring the king to the center, preventing the back-rank mate threat `d6d1` by controlling the e1/e2 squares."
4r3/p1k5/3p4/1Qp3r1/3p4/1P3P2/1BPP4/2K1R3 w - - 0 39,b5e8,"White captures the loose rook with `b5e8`, winning decisive material."
6Qk/6pp/p2Bp3/3pP2P/2pPb1P1/2q5/5R1K/8 b - - 0 43,h8g8,Black captures the Queen with `h8g8` (forced).
r1bq1Q1k/6pp/p7/1pp5/P7/b1PPP3/6PP/4RRK1 b - - 2 21,d8f8,Black captures the Queen with `d8f8` (forced).
r1R3k1/p4pp1/4p3/1r1pP1Np/3n4/1PR5/1P3PPP/6K1 b - - 1 23,a8c8,Black captures the checking rook with `a8c8` (forced).
7k/p5pp/8/2p4P/8/P2b1pPQ/1P3P2/3q1BK1 b - - 2 41,d1f1,"Black captures the bishop with `d1f1`, leading to mate or a winning endgame, and preventing White's back rank threats."
2r2rk1/2qn1pbp/3R2p1/1Q2p3/4P3/4BN2/PPP2PPP/2K4R w - - 1 19,d6d2,White retreats the rook to `d6d2` to defend the c2 pawn against Black's threatened `c7c2` checkmate.
4r1k1/p4ppp/8/1p1Q4/8/5PPb/P6P/3Rq1K1 w - - 3 27,d1e1,White captures the checking rook with `d1e1` (forced to avoid mate).
"2r3k1/pp3pp1/4p1np/4P3/3q4/1P4B1/P4PPP/3R2K1 w - - 0 23",h2h3,"Creates a flight square to avoid the back-rank mate that follows d1xd4 c8c1+."
"r2r2k1/pp3ppp/n7/2pq4/8/1PP2N1P/1P2QPP1/R3R1K1 b - - 5 19",d5b3,"Captures the undefended pawn."
"2k5/2p5/p5p1/6R1/2N1R2p/2P4P/PP4PK/3r1r2 w - - 1 32",e4e1,"Blocks the file to prevent the immediate checkmate threat of f1h1."
"6k1/2p2r2/1P5p/2p3p1/2P1P3/8/4QpRP/Bq3K2 w - - 1 43",e2d1,"Queen blocks the check; other moves are impossible or lead to immediate loss."
"8/2R5/P7/6pp/3p4/3P2Pk/7P/1r5K w - - 1 45",c7c1,"Forced rook block to delay checkmate."
"2Rr1k2/5p1p/5p2/5N1P/5Pr1/4P3/2R1K3/8 b - - 1 38",f8g8,"Moves the King to safety; capturing the rook (d8xc8) allows forced mate via c2xc8."
"5rQk/pp5p/2p2q2/3np3/3P1p2/2P4P/PP3PR1/6RK b - - 3 27",h8g8,"Forced King capture; taking with the Rook (rxg8) allows g2xg8#."
"5rk1/5q1p/p5p1/1pNp4/3P4/2P1b3/PP2Q1PP/5RK1 w - - 7 28",g1h1,"Moves King to the corner to prolong the game; taking the bishop leads to immediate back-rank mate."
"r2q1rk1/4bppp/p1p1pn2/2pp4/5P2/1P2P1QP/PBPP1RP1/RN4K1 b - - 3 12",e7f6,"Blocks the long diagonal to neutralize the mate threat on g7."
"r2q1rk1/pp3pp1/2pb1n1p/3p4/3P4/2N1PP1P/PPQ2P2/1BR2RK1 b - - 0 15",g7g6,"Blocks the bishop's diagonal to defend the h7 mate threat."
"r2q1rk1/pp3pp1/2nbpn6/3p2NP/3P2P1/P1NQ4/1PP2P2/R3K2R b KQ - 0 15",f6g4,"Captures the attacking knight."
"6k1/2q2pp1/p6p/1p6/1P6/P2B4/5PN1/4R1K1 b - - 5 31",c7c3,"Attacks the bishop and creates counter-threats."
"2r1kb1r/1p3ppp/p3p3/3pP3/1P1q4/P2Q4/4RPPP/RN4K1 w k - 0 19",d3d1,"Retreats the Queen to defend c1 against back-rank mate."
"7k/r6p/p2R1Pp1/1Pp5/6P1/8/P6P/6K1 b - - 0 32",h7h6,"Creates a flight square for the King to avoid back-rank mate on d8."
